No, V,    mAh,   Percent
0,  2.50, 3393,  1.000   
1,  2.60, 3378,  0.996   
2 , 2.70, 3363,  0.991   
3,  2.80, 3341,  0.985   
4,  2.85, 3329,  0.981   
5,  2.90, 3313,  0.976   
6,  2.95, 3291,  0.970   
7,  3.00, 3272,  0.964   
8,  3.05, 3246,  0.957   
9,  3.10, 3213,  0.947   
10, 3.15, 3172,  0.935   
11, 3.20, 3115,  0.918   
12, 3.25, 3033,  0.894   
13, 3.30, 2934,  0.865   
14, 3.35, 2816,  0.830   
15, 3.40, 2657,  0.783   
16, 3.45, 2465,  0.726   
17, 3.50, 2209,  0.651   
18, 3.55, 1941,  0.572   
19, 3.60, 1685,  0.497   
20, 3.70, 1288,  0.380   
21, 3.80,  922,  0.272   
22, 3.90,  589,  0.174   
23, 4.00,  306,  0.090  
24, 4.02,  250,  0.074   
25, 4.06,  110,  0.032   
26, 4.08,   62,  0.018   
27, 4.10,   32,  0.009   
28, 4.12,   15,  0.004   
29, 4.20,    0,  0.000   
